run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_num,val_num,epochs,max_lr,batch_size,iters/epoch,base_fils,T,fils,ensembles,params,loss_func,optimizer,scheduler,step,lr,epoch,train_loss,train_acc,val_loss,val_acc
0,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,0.5,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.03762544255256653,0.9922,1.9668384742736817,0.6385
1,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,0.5,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.06720105519294739,0.983,1.5355377597808837,0.6425
2,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,0.5,8,64,11351168,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.10867401723861694,0.9724,1.4788181867599488,0.639625
3,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,1.0,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.048128923559188845,0.987,1.8121223287582398,0.6405
4,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,1.0,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.058988770198822024,0.9856,1.5605826044082642,0.653
5,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,1.0,8,64,11351168,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.11081272401809693,0.9708,1.3920214233398438,0.64125
6,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,2.0,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.05751507863998413,0.9872,1.5636640882492066,0.65425
7,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,2.0,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.08622343597412109,0.9814,1.4035524806976318,0.647375
8,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,2.0,8,64,11351168,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.1144148057937622,0.9736,1.3600150861740112,0.635375
9,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,4.0,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.067618847322464,0.9824,1.4665207147598267,0.651375
10,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,4.0,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.1148282678604126,0.977,1.3081232452392577,0.64925
11,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,4.0,8,64,11351168,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.12161271362304688,0.9758,1.2317271666526795,0.655375
12,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,8.0,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.10839639892578125,0.9684,1.3733048186302186,0.6585
13,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,8.0,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.14502793788909912,0.972,1.1699334168434143,0.658
14,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,8.0,8,64,11351168,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.17468639888763426,0.9574,1.1478507056236267,0.656375
15,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,16.0,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.11948898839950561,0.9686,1.2853989572525024,0.6635
16,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,16.0,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.1886419153213501,0.9534,1.1464762477874755,0.654375
17,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,16.0,8,64,11351168,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.20726065101623536,0.9516,1.1146209058761596,0.657
18,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,32.0,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.14892818775177002,0.9598,1.268147114753723,0.659625
19,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,32.0,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.22185246744155884,0.944,1.1684009313583374,0.6395
20,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,32.0,8,64,11351168,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.24994295482635498,0.9352,1.125758539199829,0.63825
21,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,64.0,64,1,11181642,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.18255565662384032,0.9514,1.174371874809265,0.653125
22,models.resnet_ee resnet18,stl10_train,stl10_val,10,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]","[ToTensor(), Normalize(mean=[0.44671064615249634, 0.4398098886013031, 0.4066464304924011], std=[0.26034098863601685, 0.2565772831439972, 0.2712673842906952])]",5000,8000,200,0.0005,128,40,64,64.0,16,16,11254176,CrossEntropyLossT(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.29460497646331785,0.9192,1.1663677797317504,0.627375
