run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_num,val_num,epochs,max_lr,batch_size,iters/epoch,base_fils,fils,ensembles,params,loss_func,optimizer,scheduler,step,lr,epoch,train_loss,train_acc,val_loss,val_acc
0,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,20,0.0005,128,40,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0 ),CosineAnnealingLR ( T_max = 20 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),20,0.0005030969793285087,20,4.247087348175048,0.0616,4.294890691375732,0.0502
1,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,20,0.0005,128,40,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0 ),CosineAnnealingLR ( T_max = 20 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),20,0.0004999999999999551,20,4.260671823120117,0.0614,4.295374478149414,0.0561
2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,20,0.0005,128,40,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0 ),CosineAnnealingLR ( T_max = 20 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),20,0.0004999999999999551,20,4.247513462829589,0.0658,4.29468782196045,0.0597
4,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,10,0.0005,128,40,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0 ),CosineAnnealingLR ( T_max = 10 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),10,0.000012235870926211617,10,4.410884812927246,0.0498,4.447513645935058,0.0386
5,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,10,0.0005,128,40,64,64,1,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 10 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),10,0.000012235870926211617,10,2.7081470012664797,0.3212,3.308675909805298,0.2058
6,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,20,0.0005,128,40,64,64,1,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 20 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),20,3.077914851215585e-6,20,1.857322171020508,0.5256,3.0654911766052244,0.2615
7,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",50000,10000,20,0.0005,128,391,64,64,1,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 20 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),15,0.00010305368692688174,15,0.7619857983398437,0.77336,1.3962696830749513,0.6181
8,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",50000,10000,200,0.0005,128,391,64,64,1,11220132,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.0005     lr: 0.0005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 200 base_lrs = [0.0005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),200,3.084187958485303e-8,200,0.001379629660639912,0.9996,2.421476389312744,0.658
9,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",50000,10000,200,0.1,128,391,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.1     lr: 0.1     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0 ),CosineAnnealingLR ( T_max = 200 base_lrs = [0.1] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),110,0.0429549384031209,110,0.005870334845297039,0.99842,2.535700630569458,0.635
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",50000,10000,200,0.1,128,391,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.1     lr: 0.1     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0.0005 ),CosineAnnealingLR ( T_max = 200 base_lrs = [0.1] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),200,6.168375916970619e-6,200,0.010936198771595955,0.99952,1.2238687446594239,0.7059
15,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",50000,10000,200,0.1,128,391,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.1     lr: 0.1     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0.0005 ),CosineAnnealingLR ( T_max = 200 base_lrs = [0.1] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),120,0.03529798373838483,120,0.4698566691970825,0.85494,1.465046095085144,0.6274
16,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",50000,10000,200,0.1,128,391,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.1     lr: 0.1     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0.0005 ),CosineAnnealingLR ( T_max = 200 base_lrs = [0.1] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),140,0.02124973739783608,140,0.21592553835868836,0.9373,1.5077140674591065,0.6427
17,models.gitresnet_ee resnet18,cifar100_train,cifar100_val,100,"[RandomCrop(size=(32, 32), padding=4), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=nearest, expand=False, fill=0), ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToTensor(), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",50000,10000,200,0.1,128,391,64,64,1,11220132,CrossEntropyLoss(),SGD ( Parameter Group 0     dampening: 0     differentiable: False     foreach: None     fused: None     initial_lr: 0.1     lr: 0.1     maximize: False     momentum: 0.9     nesterov: False     weight_decay: 0.0005 ),CosineAnnealingLR ( T_max = 200 base_lrs = [0.1] eta_min = 0 last_epoch = 0 optimizer = SGD() verbose = False ),200,6.168375916970619e-6,200,0.010987056825757027,0.99968,0.933583477115631,0.7687
