run_id,model_arc,train_dataset,val_dataset,train_trans,val_trans,train_num,val_num,epochs,max_lr,batch_size,iters/epoch,params,loss_func,optimizer,scheduler,lr,epoch,train_loss,train_acc,val_loss,val_acc
0,models.resnet_1ch,mnist_train,mnist_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.001,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.001     lr: 0.001     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.001] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.467198171342e-7,100,0.005717856004635493,0.9908166666666667,0.010257995836734772,0.9849
1,models.resnet_1ch,mnist_train,mnist_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.003,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.003     lr: 0.003     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.003] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514025998e-7,100,0.0055813217701017855,0.9901666666666666,0.011080442622303963,0.9826
2,models.resnet_1ch,mnist_train,mnist_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.005,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.005     lr: 0.005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.2335990856710008e-6,100,0.005642805433645845,0.99005,0.011906465268731117,0.9821
3,models.resnet_1ch,mnist_train,mnist_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.01,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.01     lr: 0.01     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.01] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.4671981713420015e-6,100,0.006920013807316622,0.988,0.010698713902235032,0.9822
4,models.resnet_1ch,mnist_train,mnist_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],60000,10000,100,0.03,128,469,11175370,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.03     lr: 0.03     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.03] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514026003e-6,100,0.007664047512660424,0.9871166666666666,0.01044373641550541,0.9836
5,torchvision.models.resnet,cifar10_train,cifar10_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.001,128,391,11181642,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.001     lr: 0.001     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.001] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.467198171342e-7,100,0.024796054522514342,0.95732,0.27123390199661257,0.7151
6,torchvision.models.resnet,cifar10_train,cifar10_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.003,128,391,11181642,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.003     lr: 0.003     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.003] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514025998e-7,100,0.032448083957195284,0.94294,0.2473700431442261,0.7251
7,torchvision.models.resnet,cifar10_train,cifar10_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.005,128,391,11181642,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.005     lr: 0.005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.2335990856710008e-6,100,0.04966414900016785,0.9104,0.21944700697898864,0.7242
8,torchvision.models.resnet,cifar10_train,cifar10_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.01,128,391,11181642,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.01     lr: 0.01     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.01] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.4671981713420015e-6,100,0.05954949231147766,0.89348,0.22549794137954712,0.7124
9,torchvision.models.resnet,cifar10_train,cifar10_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.03,128,391,11181642,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.03     lr: 0.03     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.03] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514026003e-6,100,0.087885427942276,0.84518,0.18591401052474976,0.7191
10,torchvision.models.resnet,cifar100_train,cifar100_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.001,128,391,11227812,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.001     lr: 0.001     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.001] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.467198171342e-7,100,0.0033164234615564348,0.99678,0.9409309674072266,0.4017
11,torchvision.models.resnet,cifar100_train,cifar100_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.003,128,391,11227812,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.003     lr: 0.003     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.003] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514025998e-7,100,0.003976125714898109,0.99532,1.0721813873291015,0.378
12,torchvision.models.resnet,cifar100_train,cifar100_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.005,128,391,11227812,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.005     lr: 0.005     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.005] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),1.2335990856710008e-6,100,0.009227506726264954,0.9872,1.1197255307006837,0.369
13,torchvision.models.resnet,cifar100_train,cifar100_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.01,128,391,11227812,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.01     lr: 0.01     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.01] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),2.4671981713420015e-6,100,0.122361698387146,0.81446,0.7393379924011231,0.3865
14,torchvision.models.resnet,cifar100_train,cifar100_val,"[ToTensor(), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[0.0, 360.0], interpolation=nearest, expand=False, fill=0)]",[ToTensor()],50000,10000,100,0.03,128,391,11227812,CrossEntropyLoss(),"Adam ( Parameter Group 0     amsgrad: False     betas: (0.9, 0.999)     capturable: False     differentiable: False     eps: 1e-08     foreach: None     fused: None     initial_lr: 0.03     lr: 0.03     maximize: False     weight_decay: 0 )",CosineAnnealingLR ( T_max = 100 base_lrs = [0.03] eta_min = 0 last_epoch = 0 optimizer = Adam() verbose = False ),7.401594514026003e-6,100,0.37244335521697997,0.49432,0.6536021562957763,0.3577
